,,,,,,"<Results of SALOME, time limit of 20 sec.>",,,"<Results of 10,000 runs of random search (with maximum load rule)>",,,,,<Graph structure measures>,,,,,,,,,,,<Times structure measures>,,,,,,,,,,,,,
17,instance_n=20_17,BN,0.2,peak in the middle,extremely tricky,10,10,10,1,10, 0.002 , 0.002 , 0.998 , 0.295 ,0.85,9, 0.870 , 0.741 , 0.100 , 2.00 ,0.05,9, 4.00 , 0.30 ,1000, 9.134 ,0.271,0.698,0.114,,,,,,,,,
18,instance_n=20_18,BN,0.2,peak in the middle,very tricky,11,11,11,1,11, 0.014 , 0.014 , 0.986 , 0.300 ,1,8, 0.870 , 0.690 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.15 ,1000, 9.524 ,0.193,0.653,0.118,,,,,,,,,
19,instance_n=20_19,BN,0.2,peak in the middle,very tricky,14,14,14,1,14, 0.018 , 0.018 , 0.983 , 0.268 ,0.9,8, 0.870 , 0.769 , 0.400 , 2.67 ,0.05,8, 4.00 , 0.25 ,1000, 11.113 ,0.359,0.718,0.106,,,,,,,,,
20,instance_n=20_20,BN,0.2,peak in the middle,very tricky,11,11,11,1,11, 0.019 , 0.019 , 0.981 , 0.295 ,0.85,8, 0.870 , 0.800 , 0.350 , 2.33 ,0.05,8, 4.00 , 0.30 ,1000, 9.829 ,0.392,0.634,0.071,,,,,,,,,
21,instance_n=20_21,BN,0.2,peak in the middle,very tricky,14,14,14,1,14, 0.013 , 0.013 , 0.987 , 0.289 ,0.85,9, 0.870 , 0.800 , 0.450 , 3.00 ,0.05,9, 4.00 , 0.30 ,1000, 11.256 ,0.218,0.795,0.163,,,,,,,,,
22,instance_n=20_22,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.028 , 0.028 , 0.972 , 0.284 ,0.95,8, 0.870 , 0.741 , 0.300 , 2.00 ,0.05,8, 4.00 , 0.20 ,1000, 10.171 ,0.179,0.791,0.152,,,,,,,,,
23,instance_n=20_23,BN,0.2,peak in the middle,less tricky,13,13,13,1,13, 0.510 , 0.510 , 0.490 , 0.295 ,0.85,8, 0.870 , 0.741 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.374 ,0.35,0.758,0.09,,,,,,,,,
24,instance_n=20_24,BN,0.2,peak in the middle,very tricky,11,11,11,1,11, 0.015 , 0.015 , 0.985 , 0.274 ,0.85,8, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 9.982 ,0.185,0.831,0.159,,,,,,,,,
25,instance_n=20_25,BN,0.2,peak in the middle,tricky,11,11,11,1,11, 0.088 , 0.088 , 0.912 , 0.284 ,0.9,8, 0.870 , 0.714 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 9.670 ,0.253,0.662,0.09,,,,,,,,,
26,instance_n=20_26,BN,0.2,peak in the middle,tricky,12,12,12,1,12, 0.123 , 0.123 , 0.877 , 0.258 ,0.85,8, 0.870 , 0.741 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.110 ,0.315,0.809,0.116,,,,,,,,,
27,instance_n=20_27,BN,0.2,peak in the middle,tricky,13,13,13,1,13, 0.056 , 0.056 , 0.944 , 0.253 ,0.85,8, 0.870 , 0.800 , 0.350 , 2.33 ,0.05,8, 4.00 , 0.30 ,1000, 10.521 ,0.247,0.787,0.118,,,,,,,,,
28,instance_n=20_28,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.007 , 0.007 , 0.993 , 0.300 ,0.95,8, 0.870 , 0.690 , -   , -   ,0.05,8, 4.00 , 0.20 ,1000, 10.138 ,0.214,0.796,0.124,,,,,,,,,
29,instance_n=20_29,BN,0.2,peak in the middle,tricky,10,10,10,1,10, 0.188 , 0.188 , 0.812 , 0.268 ,0.85,8, 0.870 , 0.714 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 9.079 ,0.12,0.749,0.136,,,,,,,,,
30,instance_n=20_30,BN,0.2,peak in the middle,tricky,16,16,16,1,16, 0.403 , 0.403 , 0.597 , 0.300 ,0.9,8, 0.870 , 0.741 , 0.150 , 3.00 ,0.05,8, 4.00 , 0.25 ,1000, 11.578 ,0.418,0.74,0.106,,,,,,,,,
31,instance_n=20_31,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.007 , 0.007 , 0.994 , 0.289 ,0.85,8, 0.870 , 0.769 , 0.300 , 3.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.270 ,0.39,0.662,0.072,,,,,,,,,
32,instance_n=20_32,BN,0.2,peak in the middle,less tricky,13,13,13,1,13, 0.672 , 0.672 , 0.328 , 0.284 ,0.95,8, 0.870 , 0.741 , 0.400 , 2.67 ,0.05,8, 4.00 , 0.20 ,1000, 10.489 ,0.293,0.81,0.135,,,,,,,,,
33,instance_n=20_33,BN,0.2,peak in the middle,very tricky,11,11,11,1,11, 0.005 , 0.005 , 0.995 , 0.295 ,0.85,8, 0.870 , 0.769 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 9.944 ,0.331,0.718,0.112,,,,,,,,,
34,instance_n=20_34,BN,0.2,peak in the middle,tricky,12,12,12,1,12, 0.330 , 0.330 , 0.671 , 0.284 ,0.85,8, 0.870 , 0.741 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.203 ,0.307,0.834,0.136,,,,,,,,,
35,instance_n=20_35,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.017 , 0.017 , 0.983 , 0.300 ,0.95,9, 0.870 , 0.667 , 0.100 , 2.00 ,0.05,9, 4.00 , 0.20 ,1000, 9.906 ,0.247,0.722,0.111,,,,,,,,,
36,instance_n=20_36,BN,0.2,peak in the middle,tricky,13,13,13,1,13, 0.338 , 0.338 , 0.662 , 0.300 ,1,8, 0.870 , 0.690 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.15 ,1000, 10.314 ,0.264,0.693,0.109,,,,,,,,,
37,instance_n=20_37,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.007 , 0.007 , 0.994 , 0.300 ,0.85,8, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.328 ,0.2,0.765,0.129,,,,,,,,,
38,instance_n=20_38,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.026 , 0.026 , 0.974 , 0.295 ,0.85,8, 0.870 , 0.769 , 0.250 , 2.50 ,0.05,8, 4.00 , 0.30 ,1000, 10.083 ,0.273,0.794,0.127,,,,,,,,,
39,instance_n=20_39,BN,0.2,peak in the middle,extremely tricky,13,13,13,1,13, 0.004 , 0.004 , 0.996 , 0.295 ,0.9,9, 0.870 , 0.741 , 0.450 , 2.25 ,0.05,9, 4.00 , 0.25 ,1000, 10.662 ,0.226,0.743,0.122,,,,,,,,,
40,instance_n=20_40,BN,0.2,peak in the middle,less tricky,12,12,12,1,12, 0.767 , 0.767 , 0.233 , 0.300 ,0.85,8, 0.870 , 0.800 , 0.300 , 3.00 ,0.05,8, 4.00 , 0.30 ,1000, 10.193 ,0.374,0.797,0.115,,,,,,,,,
41,instance_n=20_41,BN,0.2,bimodal,less tricky,6,6,6,1,6, 0.963 , 0.963 , 0.037 , 0.211 ,0.75,4, 0.909 , 0.952 , 0.650 , 2.60 ,0.05,4, 4.00 , 0.35 ,1000, 5.156 ,0.07,0.581,0.152,,,,,,,,,
42,instance_n=20_42,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.844 , 0.844 , 0.156 , 0.211 ,0.85,4, 0.952 , 0.870 , 0.750 , 3.00 ,0.05,4, 4.00 , 0.20 ,1000, 4.391 ,0.03,0.505,0.162,,,,,,,,,
43,instance_n=20_43,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.645 , 0.645 , 0.355 , 0.216 ,0.8,4, 0.952 , 0.952 , 0.900 , 3.00 ,0.05,4, 4.00 , 0.25 ,1000, 4.688 ,0.031,0.477,0.135,,,,,,,,,
44,instance_n=20_44,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.922 , 0.922 , 0.079 , 0.221 ,0.8,4, 0.952 , 0.870 , 0.600 , 3.00 ,0.05,4, 4.00 , 0.25 ,1000, 4.561 ,0.025,0.5,0.131,,,,,,,,,
45,instance_n=20_45,BN,0.2,bimodal,less tricky,6,6,6,1,6, 0.999 , 0.999 , 0.001 , 0.289 ,0.85,8, 0.870 , 0.769 , 0.150 , 3.00 ,0.05,8, 4.00 , 0.30 ,1000, 5.320 ,0.071,0.524,0.159,,,,,,,,,
46,instance_n=20_46,BN,0.2,bimodal,less tricky,4,4,4,1,4, 0.978 , 0.978 , 0.022 , 0.300 ,0.95,8, 0.870 , 0.690 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.20 ,1000, 3.540 ,0.02,0.465,0.124,,,,,,,,,
47,instance_n=20_47,BN,0.2,bimodal,less tricky,4,4,4,1,4, 0.830 , 0.830 , 0.170 , 0.284 ,0.95,8, 0.870 , 0.714 , 0.300 , 2.00 ,0.05,8, 4.00 , 0.20 ,1000, 3.690 ,0.022,0.564,0.158,,,,,,,,,
48,instance_n=20_48,BN,0.2,bimodal,very tricky,5,5,5,1,5, 0.032 , 0.032 , 0.968 , 0.300 ,0.95,9, 0.870 , 0.714 , 0.250 , 2.50 ,0.05,9, 4.00 , 0.20 ,1000, 4.851 ,0.031,0.568,0.151,,,,,,,,,
49,instance_n=20_49,BN,0.2,bimodal,tricky,4,4,4,1,4, 0.195 , 0.195 , 0.805 , 0.274 ,0.9,8, 0.870 , 0.769 , 0.300 , 3.00 ,0.05,8, 4.00 , 0.25 ,1000, 3.888 ,0.034,0.561,0.136,,,,,,,,,
50,instance_n=20_50,BN,0.2,bimodal,less tricky,4,4,4,1,4, 0.922 , 0.922 , 0.078 , 0.289 ,0.9,8, 0.870 , 0.714 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 3.576 ,0.029,0.511,0.124,,,,,,,,,
51,instance_n=20_51,BN,0.2,bimodal,less tricky,4,4,4,1,4, 0.692 , 0.692 , 0.309 , 0.295 ,0.9,8, 0.870 , 0.741 , 0.300 , 3.00 ,0.05,8, 4.00 , 0.25 ,1000, 3.701 ,0.021,0.501,0.142,,,,,,,,,
52,instance_n=20_52,BN,0.2,bimodal,tricky,4,4,4,1,4, 0.164 , 0.164 , 0.837 , 0.268 ,0.8,8, 0.870 , 0.870 , 0.650 , 2.60 ,0.05,8, 4.00 , 0.35 ,1000, 3.901 ,0.04,0.465,0.103,,,,,,,,,
53,instance_n=20_53,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.696 , 0.696 , 0.304 , 0.300 ,0.8,8, 0.870 , 0.833 , 0.550 , 2.20 ,0.05,8, 4.00 , 0.35 ,1000, 4.501 ,0.021,0.474,0.144,,,,,,,,,
54,instance_n=20_54,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.582 , 0.582 , 0.418 , 0.289 ,0.85,8, 0.870 , 0.741 , 0.250 , 2.50 ,0.05,8, 4.00 , 0.30 ,1000, 4.192 ,0.026,0.554,0.181,,,,,,,,,
55,instance_n=20_55,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.964 , 0.964 , 0.036 , 0.274 ,0.9,9, 0.870 , 0.714 , 0.300 , 2.00 ,0.05,9, 4.00 , 0.25 ,1000, 4.492 ,0.03,0.53,0.15,,,,,,,,,
56,instance_n=20_56,BN,0.2,bimodal,tricky,4,4,4,1,4, 0.188 , 0.188 , 0.813 , 0.263 ,0.9,8, 0.870 , 0.741 , 0.300 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 3.865 ,0.045,0.436,0.115,,,,,,,,,
57,instance_n=20_57,BN,0.2,bimodal,less tricky,4,4,4,1,4, 0.719 , 0.719 , 0.281 , 0.226 ,0.85,8, 0.870 , 0.741 , -   , -   ,0.05,8, 4.00 , 0.30 ,1000, 3.714 ,0.021,0.507,0.14,,,,,,,,,
58,instance_n=20_58,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.652 , 0.652 , 0.348 , 0.284 ,0.85,9, 0.870 , 0.714 , -   , -   ,0.05,9, 4.00 , 0.30 ,1000, 4.296 ,0.026,0.569,0.156,,,,,,,,,
59,instance_n=20_59,BN,0.2,bimodal,extremely tricky,4,4,4,0,5, 1.000 , <0.0001 , >0.9999 , 0.300 ,0.85,8, 0.870 , 0.741 , 0.300 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 3.985 ,0.051,0.485,0.109,,,,,,,,,
60,instance_n=20_60,BN,0.2,bimodal,less tricky,6,6,6,1,6, 0.998 , 0.998 , 0.002 , 0.284 ,0.85,8, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 5.144 ,0.059,0.572,0.135,,,,,,,,,
61,instance_n=20_61,BN,0.2,bimodal,less tricky,7,7,7,1,7, 0.757 , 0.757 , 0.243 , 0.284 ,0.9,8, 0.870 , 0.741 , 0.250 , 2.50 ,0.05,8, 4.00 , 0.25 ,1000, 6.202 ,0.066,0.606,0.152,,,,,,,,,
62,instance_n=20_62,BN,0.2,bimodal,less tricky,5,5,5,1,5, 1.000 , 1.000 , 0.000 , 0.221 ,0.8,8, 0.870 , 0.833 , 0.400 , 2.67 ,0.05,8, 4.00 , 0.35 ,1000, 4.276 ,0.048,0.486,0.133,,,,,,,,,
63,instance_n=20_63,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.518 , 0.518 , 0.482 , 0.279 ,0.75,8, 0.870 , 0.833 , 0.400 , 2.67 ,0.05,8, 4.00 , 0.40 ,1000, 4.650 ,0.065,0.506,0.155,,,,,,,,,
64,instance_n=20_64,BN,0.2,bimodal,tricky,5,5,5,1,5, 0.073 , 0.073 , 0.927 , 0.279 ,0.85,8, 0.870 , 0.769 , 0.350 , 2.33 ,0.05,8, 4.00 , 0.30 ,1000, 4.877 ,0.026,0.501,0.157,,,,,,,,,
65,instance_n=20_65,BN,0.2,bimodal,less tricky,5,5,5,1,5, 0.874 , 0.874 , 0.126 , 0.284 ,0.85,8, 0.870 , 0.800 , 0.350 , 3.50 ,0.05,8, 4.00 , 0.30 ,1000, 4.564 ,0.023,0.647,0.137,,,,,,,,,
66,instance_n=20_66,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.966 , 0.966 , 0.034 , 0.526 ,0.95,7, 0.870 , 0.800 , 0.650 , 2.60 ,0.05,7, 3.33 , 0.20 ,1000, 2.743 ,0.03,0.242,0.069,,,,,,,,,
67,instance_n=20_67,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.274 , 0.274 , 0.726 , 0.505 ,1,6, 0.870 , 0.800 , 0.450 , 3.00 ,0.05,6, 3.33 , 0.15 ,1000, 2.942 ,0.026,0.308,0.088,,,,,,,,,
68,instance_n=20_68,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.488 , 0.488 , 0.512 , 0.526 ,1.25,7, 0.690 , 0.760 , 0.450 , 2.25 ,0.05,7, 3.33 , 0.20 ,1000, 2.906 ,0.06,0.219,0.047,,,,,,,,,
69,instance_n=20_69,BN,0.6,peak at the bottom,tricky,2,2,2,1,2, 0.245 , 0.245 , 0.755 , 0.547 ,1.15,6, 0.769 , 0.714 , 0.450 , 2.25 ,0.05,6, 3.33 , 0.15 ,1000, 1.972 ,0.021,0.25,0.048,,,,,,,,,
70,instance_n=20_70,BN,0.6,peak at the bottom,extremely tricky,3,3,3,1,3, 0.004 , 0.004 , 0.996 , 0.505 ,1.25,6, 0.741 , 0.645 , 0.200 , 2.00 ,0.05,6, 3.33 , 0.10 ,1000, 2.985 ,0.035,0.323,0.083,,,,,,,,,
71,instance_n=20_71,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.205 , 0.205 , 0.795 , 0.532 ,1.2,6, 0.741 , 0.667 , 0.300 , 2.00 ,0.05,6, 3.33 , 0.15 ,1000, 2.957 ,0.047,0.305,0.08,,,,,,,,,
72,instance_n=20_72,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.720 , 0.720 , 0.280 , 0.516 ,1.3,8, 0.667 , 0.625 , -   , -   ,0.05,8, 3.33 , 0.20 ,1000, 2.827 ,0.035,0.276,0.061,,,,,,,,,
73,instance_n=20_73,BN,0.6,peak at the bottom,less tricky,2,2,2,1,2, 0.513 , 0.513 , 0.487 , 0.505 ,1.25,9, 0.714 , 0.667 , 0.100 , 2.00 ,0.05,9, 3.33 , 0.15 ,1000, 1.933 ,0.027,0.262,0.059,,,,,,,,,
74,instance_n=20_74,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.999 , 0.999 , 0.001 , 0.500 ,1.2,9, 0.769 , 0.667 , 0.200 , 2.00 ,0.05,9, 3.33 , 0.10 ,1000, 2.792 ,0.022,0.275,0.075,,,,,,,,,
75,instance_n=20_75,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.533 , 0.533 , 0.467 , 0.500 ,1.2,8, 0.741 , 0.625 , -   , -   ,0.05,8, 3.33 , 0.15 ,1000, 2.886 ,0.022,0.283,0.077,,,,,,,,,
76,instance_n=20_76,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.212 , 0.212 , 0.788 , 0.542 ,1.25,8, 0.714 , 0.645 , 0.100 , 2.00 ,0.05,8, 3.33 , 0.15 ,1000, 2.903 ,0.027,0.292,0.093,,,,,,,,,
77,instance_n=20_77,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.228 , 0.228 , 0.772 , 0.516 ,1,9, 0.800 , 0.769 , 0.100 , 2.00 ,0.05,9, 3.33 , 0.25 ,1000, 2.939 ,0.027,0.234,0.05,,,,,,,,,
78,instance_n=20_78,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.999 , 0.999 , 0.001 , 0.532 ,1.25,8, 0.690 , 0.645 , 0.100 , 2.00 ,0.05,8, 3.33 , 0.20 ,1000, 2.810 ,0.051,0.347,0.078,,,,,,,,,
79,instance_n=20_79,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.686 , 0.686 , 0.314 , 0.584 ,1.4,10, 0.625 , 0.606 , -   , -   ,0.05,10, 3.33 , 0.20 ,1000, 2.945 ,0.029,0.421,0.09,,,,,,,,,
80,instance_n=20_80,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.361 , 0.361 , 0.639 , 0.521 ,1.1,11, 0.769 , 0.690 , 0.200 , 2.00 ,0.05,11, 3.33 , 0.20 ,1000, 2.914 ,0.03,0.269,0.077,,,,,,,,,
81,instance_n=20_81,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.233 , 0.233 , 0.767 , 0.500 ,1.1,9, 0.833 , 0.667 , 0.150 , 3.00 ,0.05,9, 3.33 , 0.10 ,1000, 2.937 ,0.024,0.318,0.079,,,,,,,,,
82,instance_n=20_82,BN,0.6,peak at the bottom,less tricky,4,4,4,1,4, 0.985 , 0.985 , 0.015 , 0.500 ,1.5,9, 0.606 , 0.571 , -   , -   ,0.05,9, 3.33 , 0.15 ,1000, 3.505 ,0.048,0.374,0.09,,,,,,,,,
83,instance_n=20_83,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.649 , 0.649 , 0.351 , 0.516 ,1,9, 0.870 , 0.741 , 0.350 , 2.33 ,0.05,9, 3.33 , 0.15 ,1000, 2.847 ,0.032,0.301,0.081,,,,,,,,,
84,instance_n=20_84,BN,0.6,peak at the bottom,tricky,3,3,3,1,3, 0.320 , 0.320 , 0.680 , 0.511 ,1.25,9, 0.690 , 0.645 , -   , -   ,0.05,9, 3.33 , 0.20 ,1000, 2.932 ,0.04,0.225,0.048,,,,,,,,,
85,instance_n=20_85,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.889 , 0.889 , 0.111 , 0.521 ,1.15,10, 0.800 , 0.667 , 0.200 , 2.00 ,0.05,10, 3.33 , 0.10 ,1000, 2.817 ,0.031,0.256,0.06,,,,,,,,,
86,instance_n=20_86,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.824 , 0.824 , 0.176 , 0.511 ,1,9, 0.870 , 0.741 , 0.400 , 2.00 ,0.05,9, 3.33 , 0.15 ,1000, 2.912 ,0.03,0.285,0.068,,,,,,,,,
87,instance_n=20_87,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.993 , 0.993 , 0.007 , 0.511 ,1.1,8, 0.769 , 0.690 , 0.100 , 2.00 ,0.05,8, 3.33 , 0.20 ,1000, 2.824 ,0.041,0.319,0.077,,,,,,,,,
88,instance_n=20_88,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 1.000 , 1.000 , 0.000 , 0.500 ,1.4,8, 0.645 , 0.625 , -   , -   ,0.05,8, 3.33 , 0.15 ,1000, 2.727 ,0.056,0.319,0.067,,,,,,,,,
89,instance_n=20_89,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.804 , 0.804 , 0.196 , 0.500 ,1.4,10, 0.667 , 0.588 , -   , -   ,0.05,10, 3.33 , 0.10 ,1000, 2.877 ,0.072,0.307,0.069,,,,,,,,,
90,instance_n=20_90,BN,0.6,peak at the bottom,less tricky,3,3,3,1,3, 0.914 , 0.914 , 0.086 , 0.511 ,1.15,9, 0.769 , 0.667 , -   , -   ,0.05,9, 3.33 , 0.15 ,1000, 2.807 ,0.043,0.282,0.071,,,,,,,,,
91,instance_n=20_91,BN,0.6,peak in the middle,tricky,11,11,11,1,11, 0.069 , 0.069 , 0.931 , 0.516 ,1.45,9, 0.588 , 0.625 , -   , -   ,0.05,9, 3.33 , 0.25 ,1000, 9.478 ,0.232,0.724,0.124,,,,,,,,,
92,instance_n=20_92,BN,0.6,peak in the middle,tricky,11,11,11,1,11, 0.085 , 0.085 , 0.915 , 0.500 ,1.25,9, 0.741 , 0.645 , -   , -   ,0.05,9, 3.33 , 0.10 ,1000, 9.786 ,0.305,0.649,0.099,,,,,,,,,
